Link,Title,Product Identified,Monthly Sales,Review,Price,Review,Image
https://www.amazon.in/Wrestling-Suit-Women-USI-RED/dp/B073QLGBNN/ref=zg_bs_g_3403677031_d_sccl_1/521-8137478-2842638?psc=1,"USI Wrestling Suit for Women (Red, Large)",Usi Wrestling Suit,600+ bought in past month,,"1,399",0,
https://www.amazon.in/AKIBA-Wrestlings-Powerlifting-Costume-Singlet/dp/B0D4JZZQYN/ref=zg_bs_g_3403677031_d_sccl_30/521-8137478-2842638?psc=1,AKIBA Wrestlings/Powerlifting Suit/Costume/Singlet For Men/Women,Powerlifting Suit,600+ bought in past month,,889,0,
https://www.amazon.in/LYCOT-Wrestling-Reversible-GRLR-01_Navy_2XL/dp/B0CZHCHPFB/ref=zg_bs_g_3403677031_d_sccl_29/521-8137478-2842638?psc=1,"LYCOT Men's Wrestling Cut Sleeves Reversible Plain Wrestling Suit For Men, Wrestling Singlet With Nylon Elastane Fabric GRLR 01",Wrestling Singlet,5K+ bought in past month,,"1,325",0,https://m.media-amazon.com/images/I/51eMflVKNTL._SY879_.jpg
https://www.amazon.in/Lycot-Wrestling-Costume-Singlet-Womens/dp/B07J3G5RR7/ref=zg_bs_g_3403677031_d_sccl_28/521-8137478-2842638?psc=1,"Lycot Wrestling Costume (Singlet) for Men's & Women's (3XL, Red)",Lycot Wrestling Costume Men'S,5K+ bought in past month,-4,"1,180",4,
https://www.amazon.in/aguante-Womens-Race-Singlet/dp/B0FNMYX9P1/ref=zg_bs_g_3403677031_d_sccl_27/521-8137478-2842638?psc=1,Women's Race Singlet,Women'S Race Singlet,500+ bought in past month,,"1,289",0,https://m.media-amazon.com/images/I/61yhmA6TLYL._SY879_.jpg
https://www.amazon.in/LYCOT-Wrestling-Elastane-GRL-01_Black_M/dp/B0CZHHFK5K/ref=zg_bs_g_3403677031_d_sccl_26/521-8137478-2842638?psc=1,"LYCOT Men's Wrestling Cut Sleeves Plain Wrestling Suit For Men, Wrestling Singlet With Nylon Elastane Fabric GRL 01",Wrestling Singlet,500+ bought in past month,-3,,3,https://m.media-amazon.com/images/I/51DU41VAF2L._SY879_.jpg
https://www.amazon.in/RXN-Kabaddi-Wrestling-Shoes/dp/B08J2HHQGC/ref=zg_bs_g_3403677031_d_sccl_25/521-8137478-2842638?psc=1,RXN mens Faux Leather Wrestling Shoe,Rxn Mens Faux Leather,500+ bought in past month,-194,809,194,https://m.media-amazon.com/images/I/61n9ZSWByvL._SY695_.jpg
https://www.amazon.in/GRIFFIN-GEARS%C2%AE-Powerlifting-Singlet-Women/dp/B0FMFLVMMR/ref=zg_bs_g_3403677031_d_sccl_24/521-8137478-2842638?psc=1,"Powerlifting Singlet for Men & Women – Competition Ready Gym Suit – Compression Fit, Stretch Fabric – IPF Standard Weightlifting Singlet for Deadlifts, Squats, Bench Press",Powerlifting Singlet & –,500+ bought in past month,,"3,299",0,https://m.media-amazon.com/images/I/61OubBpFvML._SY879_.jpg
https://www.amazon.in/Lycot-Wrestling-Costume-Singlet-Womens/dp/B07J3GRW64/ref=zg_bs_g_3403677031_d_sccl_23/521-8137478-2842638?psc=1,"Lycot Wrestling Costume (Singlet) for Men's & Women's (Large, Black)",Lycot Wrestling Costume Men'S,500+ bought in past month,-29,920,29,
https://www.amazon.in/Shiv-Naresh-Wrestling-Singlet-W9_Royal/dp/B0CBMTV24B/ref=zg_bs_g_3403677031_d_sccl_22/521-8137478-2842638?psc=1,SHIV NARESH Men Wrestling singlet,Wrestling Singlet,500+ bought in past month,-10,,10,https://m.media-amazon.com/images/I/516WhBxw-zL._SY879_.jpg
https://www.amazon.in/SCRUB-Stretchable-Mandarin-t-shirt-Straight/dp/B0FQCR6G2H/ref=zg_bs_g_3403677031_d_sccl_21/521-8137478-2842638?psc=1,Men Evo Scrub Stretchable Male Mandarin V Neck t-shirt With Straight Pant Set,Evo Scrub Stretchable Male,500+ bought in past month,,"1,050",0,https://m.media-amazon.com/images/I/31GBdCc14GL.jpg
https://www.amazon.in/Shiv-Naresh-Wrestling-Singlet-W4_RED/dp/B0CBMV93L3/ref=zg_bs_g_3403677031_d_sccl_20/521-8137478-2842638?psc=1,SHIV NARESH Men Wrestling singlet,Wrestling Singlet,500+ bought in past month,-10,,10,https://m.media-amazon.com/images/I/51eiDDHB4zL._SY879_.jpg
https://www.amazon.in/USI-UNIVERSAL-Wrestling-Singlet-COMFERTO/dp/B08QN6ZN2W/ref=zg_bs_g_3403677031_d_sccl_19/521-8137478-2842638?psc=1,"USI UNIVERSAL Wrestling Singlet Comferto for Men & Women, 419WM Standard Singlet for Men & Women Wrestling Uniform Polyester Elastane Construction (Size M, Red)",Wrestling Singlet,500+ bought in past month,-21,907,21,https://m.media-amazon.com/images/I/51s3a-WTAkL._SX679_.jpg
https://www.amazon.in/RXN-Weight-Lifting-Weightlifting-Singlet/dp/B0D7P2FFH2/ref=zg_bs_g_3403677031_d_sccl_18/521-8137478-2842638?psc=1,"RXN Weight Lifting, Boxing Dress For Women (WEIGHTLIFTING SINGLET)","Rxn Weight Lifting, Boxing",500+ bought in past month,-57,888,57,https://m.media-amazon.com/images/I/61tgf1NKTxL._SY879_.jpg
https://www.amazon.in/USI-UNIVERSAL-Wrestling-Singlet-COMFERTO/dp/B08QRDHK6S/ref=zg_bs_g_3403677031_d_sccl_17/521-8137478-2842638?psc=1,"USI UNIVERSAL WRESTLING SINGLET COMFERTO WOMEN (419WW) (L, Red)",Wrestling Singlet,500+ bought in past month,-5,907,5,https://m.media-amazon.com/images/I/51ObygBdOML._SX679_.jpg
https://www.amazon.in/Kobo-Wrestling-Singlets-Standard-Irritation/dp/B0CSFXM5Q6/ref=zg_bs_g_3403677031_d_sccl_16/521-8137478-2842638?psc=1,"Kobo Men’s Wrestling Singlets, Standard Singlet for Men & Women Wrestling Uniform Nylon Elastane, Irritation Free Flat Lock Seam, Gel Grip On Bottom Hole 240 GSM",Wrestling Singlet,500+ bought in past month,-5,"2,049",5,https://m.media-amazon.com/images/I/61yNhEYuZoL._SY879_.jpg
https://www.amazon.in/Kobo-Reversible-Wrestling-Singlet-Moisture-Wicking/dp/B0FJXZPJWS/ref=zg_bs_g_3403677031_d_sccl_15/521-8137478-2842638?psc=1,"Kobo Reversible Wrestling Singlet for Men Women – Powerlifting Bodysuit, Compression Sportswear for Training, Match & Gym – Dual Color, Stretchable, Moisture-Wicking Fabric (Imported)",Wrestling Singlet,500+ bought in past month,,"1,752.00",0,https://m.media-amazon.com/images/I/71Eqc1OCBBL._SX679_.jpg
https://www.amazon.in/Addiction-Wrestling-costume-Elastane-Irritation/dp/B0BKZMFLV9/ref=zg_bs_g_3403677031_d_sccl_14/521-8137478-2842638?psc=1,"Addiction Wrestling Suit DRESS costume For Men & Women GIRL BOYS KIDS Wrestling Singlet With Nylon Elastane Fabric 215 GSM, Irritation Free Flat Lock Seam, Grip Elastic On Bottom Hole",Wrestling Singlet,500+ bought in past month,-9,659,9,https://m.media-amazon.com/images/I/61mbt-5ajSL._SY879_.jpg
https://www.amazon.in/GRIFFIN-GEARS%C2%AE-Black-Powerlifting-Singlet/dp/B0FL71XW25/ref=zg_bs_g_3403677031_d_sccl_13/521-8137478-2842638?psc=1,"Men’s Powerlifting Singlet – Competition-Ready Gym Suit – Compression Fit, Stretch Fabric – IPF Standard weightlifting Singlet for Deadlifts, Squats, Bench Press",Men’S Powerlifting Singlet –,500+ bought in past month,-3,"3,299",3,https://m.media-amazon.com/images/I/4193etyuwzL.jpg
https://www.amazon.in/RXN-Multipurpose-Bodybuilding-Wrestling-Weightlifting/dp/B0D95113FQ/ref=zg_bs_g_3403677031_d_sccl_12/521-8137478-2842638?psc=1,"RXN Multipurpose Bodybuilding Wrestling Shoes for Men & Women, Low Cut Boxing, Weightlifting Shoe for Deadlift & Training Gym with Arch Support",Rxn Multipurpose Bodybuilding Wrestling,500+ bought in past month,-11,"1,749",11,https://m.media-amazon.com/images/I/71St3fjepEL._SY695_.jpg
https://www.amazon.in/Venum-US-VENUM-0621-Predator-Mouth-Guard/dp/B00MH7IWG8/ref=zg_bs_g_3403677031_d_sccl_11/521-8137478-2842638?psc=1,Venum Predator Mouthguard One Size,Venum Predator Mouthguard One,500+ bought in past month,"-1,690",,1690,https://m.media-amazon.com/images/I/71meP69EkuL._SX679_.jpg
https://www.amazon.in/LYCOT-Wrestling-GRL-02_R-Blue_3XL/dp/B0CZHQVTTV/ref=zg_bs_g_3403677031_d_sccl_10/521-8137478-2842638?psc=1,"LYCOT Men's Wrestling Cut Sleeves Pattern Wrestling Suit For Men, Wrestling Singlet With Nylon Elastane Fabric GRL 02",Wrestling Singlet,500+ bought in past month,-6,999,6,https://m.media-amazon.com/images/I/41YXBw-MXtL.jpg
https://www.amazon.in/AKIBA-Wrestlings-Powerlifting-Costume-Singlet/dp/B0D4VR3C93/ref=zg_bs_g_3403677031_d_sccl_9/521-8137478-2842638?psc=1,AKIBA Wrestlings/Powerlifting Suit/Costume/Singlet For Men/Women ((,Powerlifting Suit,500+ bought in past month,-2,889,2,
https://www.amazon.in/GRIFFIN-GEARS-powerlifting-Costume-Wrestling/dp/B0D7QHFDDJ/ref=zg_bs_g_3403677031_d_sccl_8/521-8137478-2842638?psc=1,Sports Powerlifting Costume || Wrestling Singlet || Powerlifting Suit,Wrestling Singlet,500+ bought in past month,-7,"3,298",7,
https://www.amazon.in/AKIBA-Wrestlings-Powerlifting-Costume-Singlet/dp/B0D72RRSMD/ref=zg_bs_g_3403677031_d_sccl_7/521-8137478-2842638?psc=1,AKIBA Wrestlings/Powerlifting Suit/Costume/Singlet For Men/Women,Powerlifting Suit,50+ bought in past month,-4,836,4,
https://www.amazon.in/USI-Universal-Wrestling-Women-419WSW/dp/B08ND3T3R3/ref=zg_bs_g_3403677031_d_sccl_6/521-8137478-2842638?psc=1,"USI UNIVERSAL Wrestling Suit Costume Dress For Women, (Red, Size M) Wrestling Singlet With Nylon Elastane Fabric 210 Gsm, Irritation Free Flat Lock Seam, Grip Elastic On Bottom Hole",Wrestling Singlet,50+ bought in past month,-12,"1,207",12,https://m.media-amazon.com/images/I/51r7PIxY+iL._SX679_.jpg
https://www.amazon.in/AKIBA-Wrestlings-Powerlifting-Costume-Singlet/dp/B0DDQ2QR7X/ref=zg_bs_g_3403677031_d_sccl_5/521-8137478-2842638?psc=1,AKIBA Wrestlings/Powerlifting Suit/Costume/Singlet For Men/Women,Powerlifting Suit,50+ bought in past month,-7,948,7,
https://www.amazon.in/LYCOT-Sleeves-Pattren-Wrestling-Womens/dp/B0CZF1N4PR/ref=zg_bs_g_3403677031_d_sccl_4/521-8137478-2842638?psc=1,LYCOT Cut Sleeves Pattren Nylon Wrestling Suit For Women's,Lycot Cut Sleeves Pattren,50+ bought in past month,-7,999,7,https://m.media-amazon.com/images/I/51yv+iyt7xL._SY879_.jpg
https://www.amazon.in/AKIBA-Wrestlings-Powerlifting-Costume-Singlet/dp/B0D731HFHT/ref=zg_bs_g_3403677031_d_sccl_3/521-8137478-2842638?psc=1,AKIBA Wrestlings/Powerlifting Suit/Costume/Singlet For Men/Women -,Powerlifting Suit,50+ bought in past month,-14,836,14,
https://www.amazon.in/AKIBA-Wrestling-Singlet-Powerlifting-Women/dp/B0FMP399LF/ref=zg_bs_g_3403677031_d_sccl_2/521-8137478-2842638?psc=1,"AKIBA Wrestling Singlet, Powerlifting Suit for Men and Women",Wrestling Singlet,50+ bought in past month,-7,452,7,
